threshold,GA,FR,FA,GR,FAR,FRR,GAR,GRR
0.0,12,0,611,241,0.7171361502347418,0.0,1.0,0.28286384976525825
0.05,12,0,437,415,0.5129107981220657,0.0,1.0,0.48708920187793425
0.1,12,0,272,580,0.3192488262910798,0.0,1.0,0.6807511737089202
0.15000000000000002,12,0,135,717,0.15845070422535212,0.0,1.0,0.8415492957746479
0.2,12,0,47,805,0.05516431924882629,0.0,1.0,0.9448356807511737
0.25,12,0,15,837,0.017605633802816902,0.0,1.0,0.9823943661971831
0.30000000000000004,12,0,4,848,0.004694835680751174,0.0,1.0,0.9953051643192489
0.35000000000000003,11,1,1,851,0.0011737089201877935,0.08333333333333333,0.9166666666666666,0.9988262910798122
0.4,11,1,0,852,0.0,0.08333333333333333,0.9166666666666666,1.0
0.45,11,1,0,852,0.0,0.08333333333333333,0.9166666666666666,1.0
0.5,8,4,0,852,0.0,0.3333333333333333,0.6666666666666667,1.0
0.55,5,7,0,852,0.0,0.5833333333333334,0.41666666666666663,1.0
0.6000000000000001,2,10,0,852,0.0,0.8333333333333334,0.16666666666666663,1.0
0.65,2,10,0,852,0.0,0.8333333333333334,0.16666666666666663,1.0
0.7000000000000001,1,11,0,852,0.0,0.9166666666666666,0.08333333333333337,1.0
0.75,1,11,0,852,0.0,0.9166666666666666,0.08333333333333337,1.0
0.8,0,12,0,852,0.0,1.0,0.0,1.0
0.8500000000000001,0,12,0,852,0.0,1.0,0.0,1.0
0.9,0,12,0,852,0.0,1.0,0.0,1.0
0.9500000000000001,0,12,0,852,0.0,1.0,0.0,1.0
1.0,0,12,0,852,0.0,1.0,0.0,1.0
